Baths,Beds,HOA,SQFT,cashflow,citystatezip,insurance,mortgage_pmt,price,price_estimate,rent,search_date,street,tax,total_pmt,year_built,zipcode
4,4,,4205,-2975.536666666667,"Washington, DC 20001",160,6172.87,1550000.0,,4649.0,28,1810 5th St NW ,1291.6666666666667,7624.536666666667,1918,20001
3,3,,1386,-817.6433333333334,"Falls Church, VA 22042",57.75,2489.06,625000.0,,2250.0,28,2942 Bridgehampton Ct ,520.8333333333334,3067.6433333333334,1985,22042
"5,5",5,,5523,-155.13666666666722,"Falls Church, VA 22042",160,4181.22,1049900.0,,5061.0,28,7113 Carol Ln ,874.9166666666666,5216.136666666667,1955,22042
1,1,410,651,38.02833333333342,"Arlington, VA 22203",27.125,868.18,218000.0,,1525.0,28,202 George Mason Dr Unit 202-3 ,181.66666666666666,1486.9716666666666,1940,22203
1,1,310,870,-307.2399999999998,"Arlington, VA 22203",36.25,1708.49,429000.0,,2105.0,28,851 Glebe Rd N #1006 ,357.5,2412.24,2003,22203
2,3,,1771,-499.47166666666635,"Alexandria, VA 22301",73.79166666666667,2688.18,675000.0,,2825.0,28,7 Cliff St E ,562.5,3324.4716666666664,1968,22301
1,1,436,699,-0.5316666666667516,"Arlington, VA 22203",29.125,856.24,215000.0,,1500.0,28,4378 Pershing Dr #43784 ,179.16666666666666,1500.5316666666668,1940,22203
"1,5",2,,1296,-243.5,"Alexandria, VA 22301",54.0,2389.5,600000.0,,2700.0,28,1407 Mount Vernon Ave ,500.0,2943.5,1939,22301
"4,5",5,245,4627,-2144.51,"Arlington, VA 22203",160,6368.01,1599000.0,,5961.0,28,4610 Carlin Springs Rd ,1332.5,8105.51,2018,22203
"1,5",2,,1113,-363.6350000000002,"Alexandria, VA 22301",46.375,2329.76,585000.0,,2500.0,28,528 E Glendale Ave ,487.5,2863.635,1945,22301
3,4,,1342,-185.7199999999998,"Arlington, VA 22203",55.916666666666664,2588.22,649900.0,,3000.0,28,152 Columbus St ,541.5833333333334,3185.72,1941,22203
"4,5",5,,3437,-961.7816666666658,"Alexandria, VA 22301",143.20833333333334,5177.24,1300000.0,,5442.0,28,902 Ramsey St ,1083.3333333333333,6403.781666666666,2011,22301
1,1,608,926,-481.16333333333296,"Arlington, VA 22203",38.583333333333336,1393.08,349800.0,,1850.0,28,4141 Henderson Rd #627 ,291.5,2331.163333333333,1973,22203
3,5,,2455,-1194.038333333333,"Falls Church, VA 22046",102.29166666666667,3962.58,995000.0,,3700.0,28,410 Jefferson St E ,829.1666666666666,4894.038333333333,1977,22046
"3,5",3,,3779,-1536.371666666666,"Alexandria, VA 22302",157.45833333333334,4759.08,1195000.0,,4376.0,28,1507 Stonewall Rd ,995.8333333333334,5912.371666666666,1920,22302
1,1,318,615,-349.56500000000005,"Arlington, VA 22203",25.625,1493.44,375000.0,,1800.0,28,3830 9th St N Unit 205W ,312.5,2149.565,2002,22203
"2,5",4,,1871,75.31500000000005,"Silver Spring, MD 20902",77.95833333333333,1692.56,425000.0,,2200.0,28,1802 Ladd St ,354.1666666666667,2124.685,1959,20902
4,3,,2264,-704.5333333333328,"Falls Church, VA 22046",94.33333333333333,3422.95,859500.0,,3529.0,28,216 Great Falls St ,716.25,4233.533333333333,1925,22046
"1,5",2,,1497,50.87833333333356,"Alexandria, VA 22301",62.375,2221.83,557900.0,,2800.0,28,1729 Price St ,464.9166666666667,2749.1216666666664,1965,22301
1,1,395,666,,"Arlington, VA 22203",27.75,844.29,212000.0,,,28,209 Trenton St Unit 209-2 ,176.66666666666666,1443.7066666666667,1940,22203
2,3,,1858,96.25,"Silver Spring, MD 20902",77.41666666666667,1593.0,400000.0,,2100.0,28,2910 Hardy Ave ,333.3333333333333,2003.75,1951,20902
"4,5",5,,4653,-981.9266666666672,"Falls Church, VA 22046",160,5969.76,1499000.0,,6397.0,28,407 Lincoln Ave ,1249.1666666666667,7378.926666666667,2007,22046
3,3,,1921,-1116.9116666666664,"Alexandria, VA 22301",80.04166666666667,2986.87,750000.0,,2575.0,28,22-A Chapman St W ,625.0,3691.9116666666664,1974,22301
